    #(t)     KinEnergy     PotEnergy     TotEnergy   Dissipation   wshearUpper     wallshear        L2(u')         L2(u)           e3d           ecf         ubulk         wbulk        L2(T')         L2(T)          <T>a      heatflux          Nu_t        L2(S')         L2(S)          <S>a      massflux          Nu_c     buoyPowIn
       0         5e-07        0.0125     0.0125005      0.011974      0.564674      0.931816         0.001      0.288678   0.000380312   6.66851e-07   0.000493181   0.000493888          0.05      0.299307          0.25       1.66573      -1.66573          0.05      0.299307          0.25       1.66573      -1.66573   -9.5733e-07
 1.01737   2.92671e-07    0.00489697    0.00489726     0.0105962      0.497567      0.999838   0.000765077      0.288677   0.000314609   3.29776e-07   0.000423234    0.00043287     0.0312953      0.294382      0.250003      0.668512     -0.668494     0.0497663      0.299239      0.250003       1.65181      -1.65332  -4.54501e-11
 2.00993   2.74193e-07    0.00200661    0.00200689     0.0105962      0.498296      0.999874   0.000740531      0.288676   0.000314723   3.12945e-07   0.000394659   0.000408931      0.020033      0.291955      0.250003     0.0681257    -0.0680515     0.0495448      0.299174      0.250003       1.64043       -1.6416  -6.89563e-11
 3.00248   2.59699e-07   0.000822243   0.000822503     0.0105962      0.498627      0.999889   0.000720692      0.288675   0.000314849   2.99923e-07   0.000372044    0.00039053     0.0128238       0.29062      0.250003      0.316224       0.31631     0.0493242       0.29911      0.250003       1.62887      -1.63005  -6.41338e-11
 4.01985   2.47072e-07   0.000329498   0.000329745     0.0105962      0.498829      0.999897   0.000702953      0.288674   0.000315012   2.88694e-07   0.000352105   0.000374665    0.00811786      0.289842      0.250003      0.567121      0.567206     0.0490992      0.299045      0.250003         1.617      -1.61848  -2.26511e-11
 5.01241   2.36182e-07   0.000135022   0.000135258     0.0105962      0.498966      0.999903   0.000687287      0.288674   0.000315136   2.79078e-07   0.000334692   0.000361056    0.00519657      0.289396      0.250003      0.722879      0.722959     0.0488807      0.298982      0.250003       1.60543      -1.60757   1.91846e-11
 6.00496   2.26336e-07   5.53346e-05   5.55609e-05     0.0105962      0.499068      0.999908   0.000672809      0.288673   0.000315225    2.7035e-07   0.000318726   0.000348756     0.0033267      0.289126      0.250003      0.822587      0.822664     0.0486631      0.298919      0.250003       1.59389      -1.59702   2.51525e-10
 7.02233   2.17351e-07   2.21847e-05    2.2402e-05     0.0105962      0.499151      0.999912   0.000659319      0.288673   0.000316058   2.62417e-07   0.000303517   0.000337178     0.0021064      0.288956      0.250003      0.887675      0.887752     0.0484411      0.298855      0.250003       1.58211      -1.58736   8.54802e-10
 8.01489   2.09684e-07   9.10754e-06   9.31722e-06     0.0105962      0.499218      0.999916   0.000647586      0.288672   0.000318087   2.55726e-07   0.000289587   0.000326676    0.00134963      0.288853      0.250003      0.928082       0.92817     0.0482255      0.298793      0.250003       1.57065      -1.58062   1.93019e-09
 9.00744   2.03457e-07   3.76494e-06    3.9684e-06     0.0105962      0.499274      0.999919   0.000637897      0.288672   0.000322684   2.50866e-07   0.000276406   0.000316815   0.000867749      0.288789      0.250003      0.953949       0.95407     0.0480109      0.298731      0.250003       1.55924      -1.57961   3.86283e-09
      10   1.98329e-07   1.61341e-06   1.81174e-06     0.0105962      0.499323      0.999922   0.000629808      0.288672   0.000328908   2.47267e-07   0.000263866   0.000307492   0.000568051      0.288747      0.250003      0.970508      0.970695     0.0477972       0.29867      0.250003       1.54788      -1.58679   6.77436e-09
 11.0174   1.94354e-07   7.74135e-07   9.68488e-07     0.0105962      0.499368      0.999924   0.000623464      0.288671   0.000337453   2.44332e-07   0.000251594   0.000298415   0.000393481      0.288721      0.250002      0.981318      0.981611     0.0475791      0.298608      0.250004       1.53628      -1.60613   1.41554e-08
 12.0099   1.95019e-07    5.1366e-07   7.08679e-07     0.0105963      0.499406      0.999927   0.000624531      0.288671   0.000357212   2.45859e-07   0.000240125   0.000289966   0.000320518      0.288704      0.250002       0.98803      0.988516     0.0473673      0.298548      0.250004       1.52501      -1.65178   3.10648e-08
 13.0025   2.09578e-07   5.70253e-07   7.79831e-07     0.0105963      0.499442      0.999929   0.000647422      0.288671    0.00041021   2.68359e-07   0.000229106   0.000281874   0.000337714      0.288694      0.250002      0.992326      0.993333     0.0471563      0.298488      0.250005       1.51379      -1.78277   6.53115e-08
 14.0199   2.39889e-07   1.07562e-06   1.31551e-06     0.0105963      0.499475      0.999931    0.00069266      0.288671   0.000489828   3.14426e-07   0.000218239   0.000273914   0.000463814      0.288687      0.250001      0.995132      0.997236     0.0469409      0.298427      0.250008       1.50234      -2.05766   1.18335e-07
 15.0124   2.85175e-07   2.19331e-06   2.47848e-06     0.0105964      0.499505      0.999933   0.000755215      0.288671   0.000583557   3.83458e-07   0.000208023   0.000266445   0.000662315      0.288682      0.249999      0.996874       1.00082     0.0467317      0.298368      0.250013       1.49122      -2.53794   2.23325e-07
  16.005   3.67763e-07   3.90798e-06   4.27574e-06     0.0105966      0.499534      0.999935   0.000857628      0.288671   0.000717686   4.82406e-07   0.000198163   0.000259246   0.000884079       0.28868      0.249996       0.99799       1.00484     0.0465226      0.298309      0.250021       1.48014      -3.32579    4.6743e-07
 17.0223   5.94092e-07   6.91544e-06   7.50953e-06     0.0105971      0.499562      0.999938    0.00109004      0.288671   0.000988247   7.92212e-07   0.000188402   0.000252128    0.00117605      0.288677      0.249989      0.998719       1.01242     0.0463072       0.29825      0.250038       1.46884      -5.08805   9.74854e-07
 18.0149   1.06522e-06   1.29467e-05   1.40119e-05     0.0105979      0.499587       0.99994     0.0014596      0.288672    0.00138814   1.40883e-06     0.0001792   0.000245423    0.00160914      0.288675      0.249977      0.999173       1.02686     0.0460947      0.298192      0.250069       1.45786      -8.37871   1.95329e-06
 19.0074   2.06151e-06   2.69098e-05   2.89713e-05     0.0105995      0.499617      0.999949    0.00203052      0.288673    0.00198161   2.95724e-06   0.000170306   0.000238941     0.0023199      0.288673      0.249952      0.999466       1.05606     0.0458791      0.298134      0.250129       1.44693      -14.3213    3.7608e-06
      20   3.33711e-06   5.61122e-05   5.94493e-05     0.0106024      0.499648      0.999961    0.00258345      0.288675    0.00254649   4.82225e-06   0.000161731    0.00023267    0.00334999       0.28867      0.249903      0.999658       1.10341     0.0456602      0.298077      0.250233       1.43605      -22.5221    6.7165e-06
 21.0174   5.86019e-06   9.93795e-05    0.00010524     0.0106082      0.499675      0.999975     0.0034235      0.288679    0.00339654   8.19973e-06   0.000153245   0.000226451    0.00445824      0.288663      0.249815      0.999792       1.17996     0.0454075      0.298018        0.2504       1.42495      -33.9165   1.41558e-05
 22.0099     1.097e-05   0.000173662   0.000184632     0.0106183      0.499729       1.00002    0.00468402      0.288689    0.00466469   1.55927e-05    0.00014523    0.00022058    0.00589342       0.28865      0.249665      0.999892       1.31203     0.0451095      0.297961      0.250649       1.41416      -49.0282   2.44789e-05
 23.0025   1.99151e-05   0.000291013   0.000310928     0.0106331      0.499796       1.00009    0.00631112      0.288704    0.00629663   2.74352e-05   0.000137673   0.000214893    0.00762907      0.288626      0.249417      0.999989       1.51364     0.0447474      0.297904      0.250988       1.40342      -64.5653   4.35666e-05
 24.0199   3.68663e-05   0.000569871   0.000606738     0.0106584      0.499907       1.00023    0.00858677      0.288728    0.00857508   6.01435e-05   0.000130362   0.000209246     0.0106759      0.288583      0.248974       1.00012        1.8672     0.0443402      0.297845      0.251449       1.39247      -78.6645   6.32072e-05
 25.0124   3.50351e-05   0.000971598    0.00100663     0.0106763      0.500074       1.00043    0.00837079      0.288718     0.0083589   4.85636e-05   0.000123966   0.000203909     0.0139399      0.288513      0.248416       1.00033       1.85946     0.0440499      0.297786      0.251887       1.38183      -62.8356   7.88852e-05
  26.005   6.19179e-05    0.00117082    0.00123274     0.0107207      0.500359       1.00089     0.0111282      0.288765     0.0111186    9.3453e-05   0.000118211   0.000198733     0.0153024      0.288394      0.247873       1.00072       1.97725     0.0431683      0.297726      0.252236       1.37123      -54.1457   0.000143967
 27.0223    8.3204e-05    0.00169447    0.00177768     0.0107497      0.500916       1.00171     0.0128999      0.288799     0.0128901   0.000128919   0.000113702   0.000193586     0.0184091      0.288217      0.247208       1.00149       2.01636     0.0423441      0.297662      0.252483       1.36043       -19.812   0.000140525
 28.0149   8.29301e-05    0.00218692    0.00226985     0.0107655      0.500826        1.0017     0.0128787      0.288782     0.0128692   0.000113781   0.000110031   0.000188707     0.0209137      0.287983      0.246676       1.00285        1.6914     0.0417288      0.297597      0.252498       1.34993       7.56693   0.000174635
 29.0074   0.000125286    0.00258848    0.00271377     0.0108112      0.501776       1.00315     0.0158295      0.288837     0.0158209   0.000197605   0.000106272   0.000183965     0.0227529      0.287673      0.246309       1.00528       1.44184     0.0405655       0.29753      0.252387       1.33949       21.3849   0.000205903
      30   0.000108576    0.00340618    0.00351475     0.0108043      0.502808       1.00479     0.0147361       0.28879     0.0147276   0.000155193   0.000106291   0.000179349     0.0261005      0.287311      0.246151       1.00932       1.10362     0.0402612      0.297459      0.252275       1.32909       13.0385   0.000181637
 31.0174   0.000104333    0.00374527    0.00384961     0.0107974      0.502219        1.0043     0.0144453      0.288769     0.0144362   0.000151372   0.000105912   0.000174738     0.0273689      0.286876      0.246146       1.01571       1.00683     0.0396286      0.297384      0.252171       1.31848       18.3396   0.000182343
 32.0099   0.000111555    0.00373077    0.00384232     0.0108061      0.501914       1.00467     0.0149368      0.288771     0.0149272   0.000154835   9.82949e-05   0.000170366     0.0273158        0.2864      0.246173       1.02442      0.871755     0.0386344      0.297308      0.252077       1.30818       6.32651   0.000202107
 33.0025   0.000127823     0.0037867    0.00391452     0.0107868      0.503697       1.00599     0.0159889      0.288775     0.0159771   0.000183777   9.48394e-05   0.000166121     0.0275198      0.285932      0.246262       1.03541      0.995027     0.0377764      0.297232      0.252044       1.29793       6.85013   0.000158381
 34.0199   0.000106154     0.0041329    0.00423906     0.0107494      0.504075       1.00641     0.0145708      0.288688     0.0145581     0.0001589   0.000103018   0.000161894     0.0287503      0.285482      0.246217       1.04875       1.13853     0.0380279      0.297153      0.251916       1.28747       13.9651   9.83896e-05
 35.0124    7.0458e-05    0.00409091    0.00416136     0.0107152      0.502916       1.00557     0.0118708      0.288603     0.0118566   8.96323e-05   0.000104143   0.000157894     0.0286039      0.285086      0.246266       1.06313      0.790881     0.0381598      0.297078      0.251869        1.2773      0.215364     9.531e-05
  36.005   7.87385e-05    0.00354834    0.00362708     0.0107089      0.503155       1.00525      0.012549      0.288609     0.0125335   0.000110488   0.000103596   0.000154023     0.0266396      0.284732      0.246443       1.07791      0.927593     0.0374488      0.297005      0.251889       1.26718      -7.19964    9.4347e-05
 37.0223   7.25532e-05    0.00318316    0.00325572      0.010697      0.503268       1.00568      0.012046      0.288591     0.0120299   8.65094e-05   0.000106289   0.000150192     0.0252316      0.284431      0.246482       1.09237       1.05192     0.0369886      0.296933      0.251937       1.25685       1.60983   8.49671e-05
 38.0149   8.51196e-05    0.00303012    0.00311524     0.0106792      0.502951       1.00553     0.0130476      0.288588      0.013032   0.000120317   0.000105539   0.000146579     0.0246176      0.284218      0.246454       1.10494        1.3178     0.0367624      0.296865      0.251859       1.24681       8.75692   4.67236e-05
 39.0074   5.18175e-05     0.0032743    0.00332612     0.0106574      0.502693       1.00499     0.0101801      0.288486     0.0101599   6.66922e-05   0.000103805   0.000143086     0.0255903      0.284068      0.246224       1.11533       1.49318     0.0375439        0.2968      0.251794       1.23682       8.57205     2.014e-05
      40   4.63726e-05    0.00303944    0.00308581     0.0106573      0.502335       1.00466    0.00963043      0.288472     0.0096116    5.1607e-05   0.000100905   0.000139715     0.0246554      0.283955      0.246123       1.12309       1.07627     0.0374023      0.296739      0.251761       1.22687      -1.15254   5.86595e-05
 41.0174   6.45676e-05    0.00271959    0.00278415     0.0106657      0.502471       1.00492     0.0113638      0.288505     0.0113445   8.07232e-05    9.6139e-05   0.000136379      0.023322      0.283865      0.246201       1.12801       1.07826      0.036823      0.296679        0.2518       1.21672      -9.14319   5.23842e-05
 42.0099   6.65155e-05    0.00271446    0.00278097     0.0106658      0.503043       1.00532     0.0115339      0.288493     0.0115121   7.43329e-05    9.4317e-05   0.000133233        0.0233      0.283794       0.24615       1.13044       1.30684     0.0367711      0.296622      0.251867       1.20686      -12.9114   5.41876e-05
 43.0025   8.13781e-05    0.00290033     0.0029817     0.0106685      0.503178       1.00533     0.0127576      0.288487     0.0127352   0.000110435   9.60877e-05   0.000130183     0.0240845      0.283737      0.245949       1.13067       1.59661     0.0369054      0.296566      0.251913       1.19703      -1.80133   4.21205e-05
 44.0199   6.81775e-05    0.00336376    0.00343194     0.0106691      0.503026       1.00545     0.0116771      0.288422     0.0116511   8.87401e-05   9.72599e-05   0.000127156     0.0259375      0.283683      0.245574       1.12912       1.70037     0.0375987       0.29651      0.251884         1.187       4.38304   4.15177e-05
 45.0124   6.99202e-05    0.00350482    0.00357474     0.0106791      0.503068       1.00596     0.0118254      0.288416     0.0118009   8.38242e-05   9.52552e-05     0.0001243     0.0264757      0.283617      0.245373       1.12626       1.16816      0.037629      0.296457      0.251851       1.17727      0.110849   7.18653e-05
  46.005   8.58732e-05    0.00346544    0.00355132     0.0106895      0.502951       1.00593     0.0131052      0.288435     0.0130794    0.00010198    9.1376e-05   0.000121535     0.0263266      0.283522      0.245415       1.12282       1.20899     0.0372771      0.296405      0.251838       1.16758       4.32318   7.46108e-05
 47.0223   0.000113453    0.00351345     0.0036269     0.0107001      0.503299       1.00633     0.0150634      0.288444     0.0150345   0.000139644   8.73236e-05   0.000118786     0.0265083      0.283396      0.245214       1.11874        1.6595     0.0370402      0.296351        0.2518       1.15768       3.40413   8.68307e-05
 48.0149   0.000127599    0.00406925    0.00419684     0.0107038      0.504251       1.00753     0.0159749      0.288389     0.0159395   0.000178415   8.71405e-05   0.000116183      0.028528      0.283261      0.244702       1.11456       2.19795     0.0376759      0.296299      0.251753       1.14808       12.1704   4.65469e-05
 49.0074   0.000104649     0.0045902    0.00469485     0.0106983       0.50465       1.00839     0.0144671      0.288297     0.0144298    0.00012493   8.92425e-05   0.000113657     0.0302992      0.283119      0.244062       1.11052       1.76368     0.0384988      0.296248      0.251675       1.13852       10.5355   7.11774e-05
      50   0.000124246    0.00454436    0.00466861     0.0107146      0.504674       1.00879     0.0157636      0.288304     0.0157244    0.00015971   8.95717e-05   0.000111207     0.0301475      0.282951       0.24391       1.10642       1.19469     0.0382406      0.296198      0.251591       1.12899       10.7116   8.29036e-05
 51.0174    0.00011023      0.004664    0.00477423     0.0107236        0.5048       1.00916     0.0148479       0.28823     0.0147987   0.000133432   8.81111e-05   0.000108777     0.0305418      0.282741      0.243687       1.10248       1.65527     0.0384373      0.296146      0.251508       1.11928       11.6872    8.0987e-05
 52.0099   0.000147289    0.00442392    0.00457121     0.0107325      0.505311       1.00976     0.0171633      0.288276     0.0171186   0.000185237   8.77962e-05   0.000106482     0.0297453      0.282513      0.243416       1.09911       1.54152     0.0377245      0.296097      0.251505       1.10984      -1.52071   0.000135449
 53.0025   0.000176283    0.00475385    0.00493014     0.0107314      0.505586       1.01035     0.0187768      0.288259     0.0187244   0.000242928   8.95431e-05   0.000104256     0.0308346      0.282292      0.242852       1.09623       2.41804     0.0378871      0.296047      0.251391       1.10045       30.2127   5.61161e-05
 54.0199   0.000126294    0.00554681    0.00567311     0.0107155      0.505275         1.011      0.015893      0.288076     0.0158313    0.00015842   8.65363e-05   0.000102041     0.0333071      0.282074       0.24202       1.09363       2.19943     0.0394066      0.295997      0.251232       1.09086       15.9105   4.81219e-05
 55.0124   0.000117822    0.00558619    0.00570401     0.0107262      0.505351       1.01155     0.0153507      0.288039     0.0152883   0.000145539   7.74783e-05   9.99419e-05     0.0334251      0.281842      0.241602       1.09112       1.50987     0.0395436      0.295948      0.251142       1.08155       15.5878   9.94492e-05
  56.005    0.00013017    0.00527301    0.00540318     0.0107354      0.505715       1.01167     0.0161351      0.288064     0.0160719   0.000158189   6.96271e-05   9.79072e-05     0.0324746      0.281578      0.241369       1.08901       1.54045     0.0389652      0.295901      0.251042       1.07227       10.6114    0.00011243
 57.0223   0.000167514    0.00497053    0.00513804     0.0107395      0.506122       1.01193     0.0183038      0.288117     0.0182405   0.000218301   6.56643e-05   9.58903e-05     0.0315294      0.281295      0.240977       1.08743       1.88643     0.0382588      0.295852      0.251029       1.06281       0.45138   0.000114941
 58.0149   0.000175888    0.00537139    0.00554727      0.010733      0.506199         1.012     0.0187557      0.288061     0.0186827   0.000241692   6.40064e-05    9.3987e-05     0.0327762      0.281039      0.240153       1.08632        2.6356     0.0388039      0.295804      0.250837       1.05362       32.7949   5.81651e-05
 59.0074   0.000143995    0.00600533    0.00614932     0.0107279      0.505998       1.01227     0.0169703      0.287925     0.0168873   0.000193195   6.04502e-05    9.2144e-05     0.0346564      0.280795      0.239337       1.08572       2.08823     0.0399982      0.295757      0.250793       1.04447      -11.5455   6.29526e-05
      60   0.000130242    0.00603151    0.00616175     0.0107388      0.505926       1.01277     0.0161395      0.287874     0.0160538   0.000170087   5.21918e-05   9.03591e-05     0.0347318      0.280531      0.238895       1.08543       1.75036     0.0401429       0.29571      0.250843       1.03536       5.91751   0.000101095
 61.0174   0.000138355    0.00558825    0.00572661     0.0107513      0.506065       1.01291     0.0166346      0.287909     0.0165531   0.000158382   4.18108e-05   8.85851e-05     0.0334313      0.280225      0.238507       1.08547        1.6115      0.039375      0.295662      0.250789       1.02607       6.26639   0.000140256
 62.0099   0.000213149    0.00506583    0.00527898     0.0107717      0.506585       1.01317      0.020647      0.288032      0.020562   0.000278513    3.5035e-05   8.69043e-05     0.0318303      0.279915      0.238263       1.08587       1.50175     0.0379881      0.295615      0.250865       1.01703      -20.5108   0.000153289
 63.0025   0.000206478    0.00589731    0.00610379     0.0107578      0.507449        1.0143     0.0203213      0.287891     0.0202206   0.000298597   3.29422e-05   8.52745e-05     0.0343433      0.279637      0.237656        1.0866       2.44107     0.0391397      0.295568      0.250812       1.00805       24.6145   2.81624e-05
 64.0199    0.00013974    0.00670321    0.00684295     0.0107357      0.507647       1.01474     0.0167177      0.287704     0.0166064   0.000176585   3.26009e-05   8.36604e-05     0.0366148      0.279368      0.236879       1.08771       1.82604     0.0407149      0.295519      0.250735      0.998873      -16.3494   9.49819e-05
 65.0124   0.000166278    0.00636156    0.00652784     0.0107615       0.50752       1.01453     0.0182361      0.287766     0.0181271   0.000214466   3.14653e-05   8.21375e-05     0.0356695      0.279075      0.236693       1.08896       1.37954      0.040005      0.295473      0.250893      0.989962      -5.52268   0.000127659
  66.005    0.00017228     0.0061457    0.00631798     0.0107707      0.507574       1.01464     0.0185623      0.287748     0.0184493   0.000218953   3.06718e-05   8.06603e-05     0.0350591      0.278746      0.236359       1.09046        1.8844     0.0396058      0.295427      0.250791      0.981094         23.49   0.000123316
 67.0223   0.000210453    0.00601823    0.00622868     0.0107792      0.507821       1.01525      0.020516       0.28777     0.0203942   0.000288845   2.88823e-05   7.91913e-05     0.0346936      0.278406      0.235906       1.09216       1.75458     0.0391054      0.295379      0.250718       0.97204       2.46813   0.000139494
 68.0149   0.000208371    0.00655261    0.00676098       0.01077      0.508348       1.01607     0.0204143      0.287687     0.0202837   0.000302988   2.80199e-05   7.78018e-05     0.0362011      0.278102      0.235344       1.09384       2.04874     0.0397161      0.295332      0.250603      0.963247       24.8573   7.01244e-05
 69.0074   0.000145136    0.00711409    0.00725922     0.0107501      0.508547       1.01679     0.0170374      0.287539     0.0169012   0.000183486   2.68164e-05   7.64582e-05     0.0377203      0.277806      0.234849       1.09553       1.47841     0.0408382      0.295285      0.250401      0.954497       16.5781   9.00545e-05
      70   0.000168469    0.00662685    0.00679532     0.0107746      0.508395       1.01694     0.0183559      0.287631     0.0182318   0.000203593   2.31388e-05   7.51596e-05     0.0364056      0.277481      0.234829       1.09724       1.12052     0.0399018      0.295238      0.250434      0.945787      -13.2126   0.000169985
 71.0174   0.000216521    0.00629021    0.00650673     0.0107863      0.508662       1.01729     0.0208097      0.287702     0.0206848   0.000287777   1.76794e-05   7.38671e-05     0.0354689      0.277133      0.234605       1.09901       1.99225     0.0389489      0.295189      0.250457      0.936892        23.942   0.000122213
 72.0099   0.000216238    0.00660737    0.00682361     0.0107688      0.509162       1.01764     0.0207961      0.287611     0.0206533   0.000303323   1.59824e-05   7.26382e-05     0.0363521      0.276804      0.233942        1.1009       2.07102     0.0394956      0.295141      0.250271      0.928254       18.9976   8.61557e-05
 73.0025   0.000179683    0.00710056    0.00728024     0.0107571      0.509223        1.0178      0.018957      0.287481     0.0188033   0.000250585   1.60197e-05   7.14433e-05     0.0376844      0.276506       0.23346       1.10278       1.66771     0.0404774      0.295094      0.250238      0.919656      -7.11853   6.30182e-05
 74.0199   0.000153598    0.00694713    0.00710073     0.0107637      0.509356       1.01817      0.017527      0.287464       0.01738   0.000172879   1.57326e-05   7.02584e-05      0.037275       0.27621      0.233267       1.10483       1.03126     0.0403223      0.295045      0.250223      0.910882      -3.49532   0.000148884
 75.0124    0.00019444    0.00651532    0.00670976      0.010789      0.509428        1.0188       0.01972      0.287557     0.0195814   0.000252163   1.32786e-05   6.91471e-05      0.036098      0.275903      0.233205       1.10715       1.70797     0.0392164      0.294998      0.250196      0.902362       13.0315   0.000125077
  76.005   0.000195031    0.00652986    0.00672489     0.0107773      0.509743       1.01928       0.01975      0.287548      0.019611   0.000222995   9.48608e-06   6.80769e-05     0.0361382      0.275591      0.232724       1.10962       1.89148     0.0390635      0.294952      0.250186      0.893875      -21.3327   0.000150218
 77.0223   0.000280489    0.00664172    0.00692221     0.0107944      0.510071       1.01925      0.023685      0.287633     0.0235273   0.000390006    8.5004e-06     6.701e-05     0.0364464      0.275285      0.232158       1.11213       2.21154     0.0386025      0.294904      0.250341      0.885214      -9.00124    0.00011094
 78.0149   0.000211493    0.00794728    0.00815878      0.010767      0.510407       1.01971     0.0205666      0.287341     0.0203808   0.000303475   1.10564e-05   6.59942e-05      0.039868      0.275017      0.231328       1.11449       2.49879     0.0409431      0.294857      0.250289      0.876809       31.3033   2.87003e-06
 79.0074   0.000123342    0.00832981    0.00845315     0.0107539      0.510453       1.02022     0.0157062      0.287176     0.0155057   0.000134008   1.24797e-05    6.5009e-05     0.0408162       0.27474       0.23074       1.11674       1.37543     0.0420822      0.294811      0.250068      0.868436      -5.40867   0.000120099
      80    0.00019257    0.00721846    0.00741103     0.0108062      0.510076        1.0197      0.019625      0.287421     0.0194612   0.000235462   1.15935e-05   6.40575e-05     0.0379959      0.274428       0.23086       1.11912       1.08121     0.0397998      0.294766      0.250302      0.860097      -25.5845   0.000220534
 81.0174    0.00022776    0.00691134     0.0071391     0.0108033      0.510502       1.02002     0.0213429      0.287481     0.0211825   0.000292254   1.13951e-05   6.31172e-05     0.0371789      0.274089      0.230534       1.12189       2.02291     0.0387509      0.294719      0.250268      0.851596       18.8681   0.000117869
 82.0099   0.000240408    0.00728392    0.00752432     0.0107825       0.51075       1.02047     0.0219275      0.287434     0.0217536   0.000308442   1.43184e-05   6.22341e-05     0.0381678      0.273781      0.229878       1.12498       2.16628     0.0392174      0.294672       0.25011      0.843341       28.0379   0.000124843
 83.0025   0.000253665    0.00806945    0.00832311     0.0107843      0.510863       1.02117      0.022524       0.28734     0.0223285   0.000363115   1.46785e-05   6.13799e-05     0.0401732      0.273517      0.229312       1.12822       1.84664     0.0402927      0.294624      0.249992      0.835124       7.57984   4.27905e-05
 84.0199   0.000152334    0.00884867      0.009001     0.0107627      0.510975       1.02171     0.0174548       0.28709      0.017231     0.0001815   1.33598e-05    6.0527e-05     0.0420682      0.273248      0.228885       1.13151       1.58056     0.0420684      0.294577      0.249905      0.826732       15.1198   8.46554e-05
 85.0124   0.000181891    0.00821428    0.00839617     0.0107949      0.510411       1.02106     0.0190731      0.287221     0.0188751   0.000224117    8.5349e-06   5.97175e-05     0.0405322       0.27296      0.228832       1.13466       1.22278     0.0408659      0.294531      0.249873      0.818576       8.45909   0.000186097
  86.005   0.000219685    0.00766409    0.00788377     0.0108102      0.510857       1.02148     0.0209612      0.287343     0.0207833   0.000267732   4.22445e-06   5.89284e-05     0.0391512      0.272654      0.228784       1.13792       1.22039     0.0394439      0.294485      0.249879      0.810461      -10.7708   0.000163571
 87.0223   0.000244597    0.00774711    0.00799171     0.0107993      0.511426        1.0224     0.0221177      0.287349     0.0219358   0.000326554   2.34806e-06   5.81456e-05     0.0393627      0.272359      0.228585       1.14191       1.71955     0.0392212      0.294439      0.249829      0.802191        19.196   0.000111518
 88.0149   0.000230495    0.00845677    0.00868727     0.0107878      0.511632       1.02328     0.0214707      0.287266     0.0212794   0.000301414  -3.29379e-07   5.74125e-05     0.0411261      0.272109      0.228029       1.14633       1.91546     0.0401913      0.294393      0.249651      0.794147       12.5389   0.000106046
 89.0074   0.000224947    0.00898224    0.00920718     0.0107864      0.511902       1.02358     0.0212107       0.28723     0.0210103   0.000297886   -4.5076e-06   5.67012e-05     0.0423845      0.271869      0.227817       1.15071       1.33392     0.0408334      0.294348      0.249755       0.78614      -21.0752   9.17831e-05
      90   0.000180775    0.00923399    0.00941477      0.010778      0.511213       1.02269     0.0190145      0.287123     0.0187999   0.000233169  -7.83348e-06   5.60073e-05     0.0429744       0.27161      0.227585       1.15518       1.86119     0.0415108      0.294304      0.249717      0.778171       32.7365   8.96583e-05
 91.0174   0.000187892    0.00878711    0.00897501     0.0107998      0.510758       1.02256     0.0193852      0.287179     0.0191867   0.000229323  -1.73194e-05   5.53192e-05     0.0419216      0.271319      0.227214       1.15983        1.5257     0.0408109      0.294259       0.24956       0.77004       4.58194   0.000179118
 92.0099   0.000260914    0.00812031    0.00838123     0.0108263      0.511224       1.02288     0.0228436      0.287363     0.0226582   0.000342191   -2.6252e-05   5.46696e-05     0.0402997      0.271027      0.227082       1.16452       1.28589     0.0390317      0.294215      0.249671      0.762144      -36.3383   0.000197185
 93.0025   0.000247731    0.00860008    0.00884781     0.0108047      0.512088       1.02434      0.022259      0.287273     0.0220667   0.000346768  -3.24406e-05   5.40399e-05     0.0414731      0.270761      0.226753       1.16981       1.92805     0.0395669      0.294171      0.249694      0.754285       19.1313   4.69015e-05
 94.0199   0.000172159    0.00906332    0.00923548     0.0107737      0.512474       1.02503     0.0185558       0.28715     0.0183583   0.000189171  -3.69427e-05   5.34165e-05     0.0425754      0.270513      0.226514       1.17552        1.0055     0.0406715      0.294125       0.24962      0.746262      -23.1953   0.000142566
 95.0124   0.000231753    0.00861846    0.00885022     0.0108009      0.511593       1.02376     0.0215292       0.28731      0.021345   0.000306705  -4.32094e-05   5.28248e-05     0.0415174      0.270274      0.226565        1.1812       1.70714     0.0395399      0.294082      0.249749      0.738466       4.74896   0.000134446
  96.005    0.00021586    0.00874757    0.00896343     0.0107843      0.510622       1.02246     0.0207779       0.28724     0.0205792   0.000271735  -5.32513e-05   5.22443e-05     0.0418272      0.270031      0.225981       1.18683       2.18309     0.0398709      0.294038      0.249613      0.730708        24.045   0.000105543
 97.0223   0.000252914    0.00874875    0.00900166     0.0108011      0.510811       1.02248     0.0224906      0.287264     0.0222868   0.000341206  -6.46171e-05   5.16695e-05       0.04183      0.269783      0.225519       1.19282       1.80409     0.0397383      0.293993      0.249567      0.722787      -2.34114   0.000127052
 98.0149    0.00020932     0.0091866    0.00939592     0.0107959        0.5116       1.02436     0.0204607      0.287149     0.0202478   0.000254744  -7.46912e-05   5.11291e-05      0.042864      0.269559      0.225138       1.19859       1.46342     0.0405045      0.293949      0.249522      0.715091      -3.78475   8.90809e-05
 99.0074   0.000198083    0.00914127    0.00933935     0.0107995      0.511635       1.02445     0.0199039      0.287147     0.0196942   0.000245419  -8.67924e-05    5.0613e-05     0.0427581      0.269342      0.225202       1.20462       1.12247     0.0404165      0.293907      0.249577      0.707443        3.4832   0.000139965
